Product,Value,SpaceRequirement
Sony Alpha Refrigerator,1818,400
Sony Bravia XR,1609,200
Sony HT-A7000 Soundbar,509,40
Sony PlayStation 5,1808,60
Sony PlayStation Soundbar,528,50
Amazon Echo Show,1228,40
Amazon Echo Studio,776,35
Amazon Eero 6 Router,633,10
Amazon Fire HD 10,1601,12
Amazon Fire TV Stick,506,5
Amazon Kindle Oasis,1078,10
Amazon Ring Doorbell,869,8
Amazon Smart Thermostat,1047,15
Apple AirPods Pro,1536,5
Apple HomePod,841,30
Apple MacBook Pro,498,15
Apple Watch Series 9,1004,8
Apple iPad Air,1035,10
Apple iPhone 15,1078,5
Google Chromecast Ultra,442,5
Google Nest Doorbell,766,10
Google Nest Hub,693,25
Google Nest Thermostat,463,15
Google Nest Wi-Fi,1742,15
Google Pixel 8,1482,5
Google Pixel Buds Pro,1654,5
Google Pixel Tablet,393,12
Google Pixel Watch,892,8
Google Stadia Controller,1883,20
LG C1 OLED,1159,210
LG G2 OLED TV,626,190
LG Gram 17 Laptop,869,15
LG InstaView Refrigerator,751,380
LG NeoChef Microwave,1506,85
LG Styler,313,440
LG TWINWash,1219,420
LG Tone Free Earbuds,1854,8
LG UltraGear Monitor,1950,140
LG XBoom Speaker,1957,35
Microsoft Arc Mouse,461,5
Microsoft HoloLens 2,1040,30
Microsoft Modern Webcam,1998,8
Microsoft Sculpt Keyboard,1587,10
Microsoft Surface Duo,1430,10
Microsoft Surface Headphones,900,12
Microsoft Surface Laptop Studio,555,18
Microsoft Surface Pro 9,1398,15
Microsoft Xbox Elite Controller,1566,15
Microsoft Xbox Series X,1075,60
Panasonic AC Unit,740,300
Panasonic Bread Maker,1863,60
Panasonic Cordless Phone,989,10
Panasonic Genius Microwave,869,80
Panasonic Hair Dryer,509,15
Panasonic Lumix Camera,618,20
Panasonic NA Washer,996,390
Panasonic Prime Fresh Refrigerator,1165,370
Panasonic Steam Oven,489,85
Panasonic Viera LED,1729,160
Philips Air Purifier,365,100
Philips Airfryer XXL,361,70
Philips Daily Collection Blender,1816,20
Philips Eco Refrigerator,478,300
Philips Hair Clipper,491,10
Philips Hue Smart TV,1685,180
Philips LatteGo Coffee Machine,747,50
Philips OneBlade Shaver,1509,5
Philips Sonicare Toothbrush,1164,10
Philips SpeedPro Vacuum,1416,50
Samsung AirDresser,1766,450
Samsung Crystal UHD,776,220
Samsung Family Hub,1334,350
Samsung Galaxy Microwave,354,90
Samsung Galaxy S23,707,5
Samsung Galaxy Watch 6,1449,8
Samsung Jet 90 Vacuum,1630,55
Samsung QuickDrive Washer,1532,400
Samsung Smart Monitor M8,1736,150
Samsung The Frame TV,1416,180
